"","Sample.ID","Sampling.Site","Start.Date.Time","Stop.Date.Time","Phase","Mud","Ethane","Ethene","Propane","Propene","i.Butane","n.Butane","Ethyne","trans.2.Butene","X1.Butene","cis.2.Butene","Cycopentane","i.Pentane","n.Pentane","trans.2.Pentene","X1.Pentene","cis.2.Pentene","n.Hexane","Isoprene","X2.4.Dimethylpentane","n.Heptane","Benzene","Cyclohexane","X2.3.Dimethylpentane","X2.Methylhexane","X3.Methylhexane","X2.2.4.Trimethylpentane","Methylcyclohexane","X2.3.4.Trimethylpentane","Toluene","X2.Methylheptane","X3.Methylheptane","n.Octane","Ethylbenzene","m..and.p.Xylene","Styrene","o.Xylene","n.Nonane","i.Propylbenzene","n.Propylbenzene","X3.Ethyltoluene","X4.Ethyltoluene","X1.3.5.Trimethylbenzene","X2.Ethyltoluene","X1.2.4.Trimethylbenzene","n.Decane","X1.2.3.Trimethylbenzene","X1.3.Diethylbenzene","X1.4.Diethylbenzene","C2HCl3","C2Cl4","Methane","Ozone"
"21","SS-6.0-41_CCOB_ANTHEM_01_IMPACT_20191205_20191212","Anthem",2019-12-05,2019-12-12,"pre",NA,25.149,1.66,13.476,0.228,2.365,6.143,2.081,0.017,0.032,0.012,0.147,1.749,1.815,0.013,0.018,0.007,0.683,0.002,0.039,0.206,0.237,0.238,0.115,0.048,0.142,0.078,0.263,0.011,0.415,0.044,0.028,0.12,0.055,0.159,0.008,0.059,0.064,0.009,0.012,0.018,0.015,0.005,0.009,0.029,0.067,0.078,0.011,0.007,0.034,0.005,2072,41.0705
"22","SS-6.0-21_CCOB_ANTHEM_01_IMPACT_20191212_20191219","Anthem",2019-12-12,2019-12-19,"pre",NA,16.119,2.074,8.417,0.252,1.476,3.878,5.463,0.015,0.031,0.006,0.09,1.122,1.116,0.004,0.018,0.007,0.475,0.009,0.03,0.161,0.269,0.147,0.087,0.046,0.108,0.073,0.158,0.011,0.362,0.031,0.029,0.081,0.03,0.135,0.008,0.047,0.044,0.009,0.012,0.014,0.015,0.005,0.009,0.023,0.036,0.078,0.011,0.007,0.041,0.005,1953,40.765
"23","SS-6.0-51_CCOB_ANTHEM_01_IMPACT_20191219_20191226","Anthem",2019-12-19,2019-12-26,"pre",NA,17.029,1.51,8.452,0.241,1.483,3.853,2.245,0.012,0.031,0.006,0.096,1.159,1.091,0.004,0.018,0.007,0.461,0.005,0.032,0.15,0.226,0.144,0.089,0.047,0.118,0.077,0.163,0.011,0.327,0.03,0.022,0.068,0.04,0.127,0.008,0.044,0.044,0.009,0.012,0.015,0.015,0.005,0.009,0.026,0.051,0.078,0.011,0.007,0.065,0.006,2076,45.98235
"24","SS-6.0-44_CCOB_ANTHEM_01_IMPACT_20191226_20200102","Anthem",2019-12-26,2020-01-02,"pre",NA,14.141,1.541,7.148,0.213,1.29,3.227,3.27,0.013,0.031,0.006,0.071,0.936,0.899,0.004,0.018,0.007,0.344,0.006,0.031,0.105,0.216,0.136,0.077,0.04,0.089,0.062,0.137,0.011,0.267,0.014,0.021,0.069,0.044,0.109,0.008,0.051,0.043,0.009,0.012,0.018,0.015,0.005,0.009,0.025,0.058,0.078,0.011,0.007,0.024,0.008,2018,45.80675
"25","SS-6.0-57_CCOB_ANTHEM_01_IMPACT_20200102_20200109","Anthem",2020-01-02,2020-01-09,"pre",NA,10.553,0.653,5.03,0.112,0.787,2.044,1.135,0.007,0.016,0.006,0.045,0.555,0.582,0.004,0.018,0.007,0.238,0.002,0.012,0.075,0.14,0.086,0.042,0.025,0.047,0.035,0.082,0.011,0.134,0.014,0.005,0.045,0.017,0.063,0.008,0.025,0.028,0.009,0.012,0.003,0.015,0.005,0.009,0.01,0.013,0.078,0.011,0.007,0.02,0.003,1992,44.02365
"26","SS-6.0-44_CCOB_ANTHEM_01_IMPACT_20200109_20200116","Anthem",2020-01-09,2020-01-16,"pre",NA,12.376,1.181,5.994,0.138,1.066,2.705,1.739,0.016,0.021,0.014,0.068,0.795,0.788,0.004,0.018,0.007,0.288,0.002,0.029,0.099,0.153,0.097,0.063,0.035,0.065,0.033,0.12,0.011,0.206,0.014,0.011,0.044,0.03,0.067,0.008,0.032,0.023,0.009,0.012,0.01,0.015,0.005,0.009,0.016,0.013,0.078,0.011,0.007,0.019,0.005,2030,42.65855
"27","SS-6.0-31_CCOB_ANTHEM_01_IMPACT_20200116_20200123","Anthem",2020-01-16,2020-01-23,"pre",NA,17.915,1.451,7.839,0.183,1.382,3.64,1.557,0.012,0.027,0.006,0.084,1.077,1.078,0.004,0.018,0.007,0.43,0.002,0.027,0.163,0.204,0.126,0.09,0.046,0.114,0.06,0.171,0.011,0.303,0.039,0.027,0.068,0.037,0.112,0.008,0.035,0.041,0.009,0.012,0.014,0.015,0.005,0.009,0.023,0.028,0.078,0.011,0.007,0.051,0.006,2089,45.0705
"28","SS-6.0-52_CCOB_ANTHEM_01_IMPACT_20200123_20200130","Anthem",2020-01-23,2020-01-30,"pre",NA,17.83,1.669,8.869,0.254,1.742,4.462,1.568,0.021,0.039,0.015,0.099,1.319,1.307,0.004,0.018,0.007,0.503,0.007,0.012,0.165,0.219,0.156,0.105,0.054,0.119,0.082,0.183,0.011,0.356,0.038,0.025,0.086,0.05,0.148,0.008,0.048,0.049,0.009,0.012,0.02,0.015,0.005,0.009,0.03,0.036,0.078,0.011,0.007,0.059,0.006,2106,40.44425
"29","SS-6.0-33_CCOB_ANTHEM_01_IMPACT_20200130_20200206","Anthem",2020-01-30,2020-02-06,"pre",NA,9.593,0.742,5.47,0.182,0.829,2.151,1.08,0.003,0.008,0.006,0.048,0.58,0.593,0.004,0.018,0.007,0.196,0.002,0.012,0.069,0.146,0.063,0.034,0.02,0.047,0.029,0.065,0.011,0.143,0.014,0.005,0.036,0.014,0.049,0.008,0.011,0.011,0.009,0.012,0.003,0.015,0.005,0.009,0.005,0.013,0.078,0.011,0.007,0.008,0.002,1963,50.4205
"30","SS-6.0-08_CCOB_ANTHEM_01_IMPACT_20200206_20200213","Anthem",2020-02-06,2020-02-13,"pre",NA,11.327,1.199,6.006,0.181,0.952,2.436,1.535,0.011,0.03,0.014,0.058,0.73,0.683,0.008,0.018,0.007,0.285,0.009,0.026,0.485,0.175,0.093,0.225,0.098,0.393,0.072,0.165,0.011,0.236,0.014,0.014,0.055,0.026,0.085,0.008,0.04,0.011,0.009,0.012,0.013,0.015,0.005,0.009,0.02,0.013,0.078,0.011,0.007,0.02,0.004,1977,41.0705
"31","SS-6.0-05_CCOB_ANTHEM_01_IMPACT_20200213_20200220","Anthem",2020-02-13,2020-02-20,"pre",NA,18.001,1.11,9.191,0.176,1.66,4.469,0.932,0.017,0.026,0.006,0.105,1.261,1.31,0.004,0.018,0.007,0.508,0.009,0.012,0.157,0.2,0.159,0.087,0.037,0.095,0.063,0.195,0.011,0.254,0.054,0.032,0.077,0.034,0.098,0.008,0.033,0.043,0.009,0.012,0.015,0.015,0.005,0.009,0.027,0.037,0.078,0.011,0.007,0.021,0.005,2024,45.27335
"32","SS-6.0-46_CCOB_ANTHEM_01_IMPACT_20200220_20200227","Anthem",2020-02-20,2020-02-27,"pre",NA,19.164,1.1,10.345,0.157,1.889,5.295,1.044,0.01,0.027,0.006,0.128,1.563,1.716,0.004,0.018,0.007,0.748,0.002,0.039,0.278,0.269,0.26,0.124,0.051,0.153,0.076,0.37,0.011,0.356,0.07,0.045,0.158,0.058,0.173,0.008,0.062,0.079,0.009,0.012,0.02,0.015,0.005,0.009,0.031,0.049,0.078,0.011,0.007,0.02,0.007,2014,48.51775
"33","SS-6.0-02_CCOB_ANTHEM_01_IMPACT_20200227_20200305","Anthem",2020-02-27,2020-03-05,"pre",NA,17.179,0.632,8.384,0.107,1.535,4.007,0.581,0.009,0.02,0.006,0.105,1.209,1.316,0.004,0.018,0.007,0.587,0.002,0.031,0.222,0.169,0.203,0.104,0.054,0.126,0.06,0.323,0.011,0.265,0.066,0.051,0.151,0.034,0.139,0.008,0.037,0.068,0.009,0.012,0.012,0.015,0.005,0.009,0.023,0.042,0.078,0.011,0.007,0.015,0.002,2023,49.0116
