State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-01-26,Parts per million,None,17,100,0.043941,0.045,7,42,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-01-27,Parts per million,None,17,100,0.045882,0.048,17,44,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-01-28,Parts per million,None,17,100,0.035353,0.044,7,41,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-01-29,Parts per million,None,17,100,0.043824,0.046,14,43,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-01-30,Parts per million,None,17,100,0.045176,0.047,7,44,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-01-31,Parts per million,None,17,100,0.033,0.036,19,33,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-01,Parts per million,None,17,100,0.029882,0.037,9,34,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-02,Parts per million,None,17,100,0.027647,0.045,23,42,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-03,Parts per million,None,17,100,0.047941,0.05,9,46,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-04,Parts per million,None,17,100,0.021176,0.041,23,38,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-05,Parts per million,None,14,82,0.0265,0.035,10,32,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
8,59,6,44201,1,39.912799,-105.188587,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2018-02-06,Parts per million,None,17,100,0.034765,0.042,14,39,87,INSTRUMENTAL - ULTRA VIOLET ABSORPTION,ROCKY FLATS-N,16600 W COLO #128,Colorado,Jefferson,Not in a city,"Denver-Aurora-Lakewood, CO",2/5/2023
