Sample ID,Sampling Site,Start Date Time,Stop Date Time,Phase,Mud,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cycopentane,i-Pentane,n-Pentane,trans-2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
SS-6.0-38_CCOB_INTERCHANGE_02_OG_20190718_20190725,CCOB_INTERCHANGE_02_OG,2019-07-18,2019-07-25,pre,NA,9.977,0.795,4.808,0.134,0.861,2.318,0.304,0.009,0.053,0.006,0.068,1.009,0.899,0.004,0.018,0.007,0.372,0.073,0.025,0.149,0.156,0.084,0.057,0.026,0.082,0.057,0.171,0.011,0.379,0.042,0.029,0.09,0.035,0.15,NA,0.062,0.061,0.009,0.012,0.032,0.015,0.005,0.009,NA,0.079,0.078,0.011,NA,0.002,0.044,1887
SS-6.0-24_CCOB_INTERCHANGE_01_OG_20190718_20190725,CCOB_INTERCHANGE_01_OG,2019-07-18,2019-07-25,pre,NA,6.225,0.583,3.105,0.129,0.596,1.6,0.209,0.003,0.044,0.006,0.047,0.705,0.631,0.004,0.018,0.007,0.241,0.053,0.012,0.097,0.15,0.084,0.059,0.047,0.06,0.044,0.159,0.011,0.303,0.014,0.016,0.07,0.033,0.117,NA,0.047,0.05,0.009,0.012,0.026,0.015,NA,0.009,NA,0.062,0.078,0.011,NA,0.002,0.078,1840
SS-6.0-21_CCOB_INTERCHANGE_02_OG_20190725_20190801,CCOB_INTERCHANGE_02_OG,2019-07-25,2019-08-01,pre,NA,8.171,0.542,4.3,0.111,0.746,2.039,0.282,0.01,0.035,0.006,0.069,0.903,0.822,0.004,0.018,0.007,0.346,0.063,0.012,0.134,0.148,0.127,0.071,0.047,0.084,0.062,0.183,0.011,0.339,0.043,0.028,0.099,0.039,0.151,NA,0.054,0.062,0.009,0.012,0.033,0.015,0.005,0.009,NA,0.072,0.078,0.011,NA,0.003,0.035,1978
SS-6.0-39_CCOB_INTERCHANGE_01_OG_20190725_20190801,CCOB_INTERCHANGE_01_OG,2019-07-25,2019-08-01,pre,NA,8.086,0.684,4.726,0.172,0.848,2.327,0.316,0.012,0.077,0.016,0.073,0.963,0.879,0.004,0.018,0.007,0.358,0.031,0.012,0.174,0.14,0.095,0.074,0.056,0.083,0.05,0.181,0.011,0.351,0.048,0.033,0.099,0.038,0.138,NA,0.051,0.068,0.009,0.012,0.033,0.015,0.005,0.009,NA,0.095,0.078,0.011,NA,0.017,0.129,1845
SS-6.0-01_CCOB_INTERCHANGE_02_OG_20190801_20190808,CCOB_INTERCHANGE_02_OG,2019-08-01,2019-08-08,pre,NA,9.169,0.548,5.452,0.112,0.954,2.566,0.268,0.003,0.031,0.006,0.071,0.989,0.95,0.004,0.018,0.007,0.404,0.035,0.027,0.166,0.144,0.134,0.076,0.029,0.064,0.055,0.15,0.011,0.32,0.038,0.03,0.089,0.036,0.143,NA,0.05,0.061,0.009,0.012,0.028,0.015,0.005,0.009,NA,0.083,0.078,0.011,NA,0.076,0.003,1948
SS-6.0-32_CCOB_INTERCHANGE_01_OG_20190801_20190808,CCOB_INTERCHANGE_01_OG,2019-08-01,2019-08-08,pre,NA,8.959,0.543,5.451,0.133,0.974,2.636,0.28,0.008,0.052,0.006,0.074,0.989,0.971,0.004,0.018,0.007,0.39,0.041,0.026,0.152,0.141,0.066,0.057,0.031,0.051,0.049,0.131,0.011,0.309,0.034,0.027,0.091,0.039,0.127,NA,0.051,0.064,0.009,0.012,0.028,0.015,0.005,0.009,NA,0.073,NA,0.011,NA,0.104,0.003,1921
SS-6.0-38_CCOB_INTERCHANGE_02_OG_20190808_20190815,CCOB_INTERCHANGE_02_OG,2019-08-08,2019-08-15,pre,NA,11.779,0.567,6.722,0.132,1.113,3.044,0.335,0.003,0.025,0.006,0.089,1.131,1.148,0.004,0.018,0.007,0.476,0.032,0.012,0.181,0.167,0.144,0.09,0.051,0.095,0.06,0.163,0.011,0.344,0.057,0.039,0.11,0.038,0.153,NA,0.053,0.086,0.009,0.012,0.033,0.015,0.079,0.009,NA,0.11,0.078,0.011,NA,0.062,0.003,1948
SS-6.0-09_CCOB_INTERCHANGE_01_OG_20190808_20190815,CCOB_INTERCHANGE_01_OG,2019-08-08,2019-08-15,pre,NA,12.555,0.712,7.513,0.19,1.257,3.439,0.337,0.01,0.052,0.014,0.094,1.235,1.271,0.004,0.018,0.007,0.506,0.036,0.028,0.209,0.176,0.106,0.079,0.039,0.079,0.07,0.185,0.011,0.358,0.046,0.039,0.143,0.046,0.153,NA,0.057,0.099,0.009,0.012,0.031,0.015,0.005,0.009,NA,0.136,0.078,0.011,NA,0.11,0.005,1921
SS-6.0-04_CCOB_Interchange02_OG_20190815_20190822,CCOB_INTERCHANGE_02_OG,2019-08-15,2019-08-22,pre,NA,11.885,0.52,6.177,0.108,0.99,2.765,0.312,0.013,0.032,0.006,0.093,1.044,1.124,0.004,0.018,0.007,0.477,0.065,0.03,0.217,0.163,0.168,0.092,0.05,0.118,0.069,0.256,0.011,0.372,0.054,0.028,0.113,0.045,0.175,NA,0.064,0.071,0.009,0.012,0.041,0.015,0.013,0.009,0.199,0.087,0.078,0.011,NA,0.097,0.004,1948
SS-6.0-16_CCOB_INTERCHANGE_01_OG_20190815_20190822,CCOB_INTERCHANGE_01_OG,2019-08-15,2019-08-22,pre,NA,10.176,0.631,5.523,0.128,0.896,2.51,0.323,0.003,0.029,0.006,0.082,1.044,1.04,0.004,0.018,0.007,0.538,0.029,0.032,0.191,0.208,0.179,0.09,0.046,0.117,0.05,0.211,0.011,0.333,0.044,0.038,0.106,0.039,0.153,NA,0.059,0.067,0.009,0.012,0.031,0.015,0.012,0.009,0.337,0.078,0.078,0.011,NA,0.074,0.008,1921
SS-6.0-43_CCOB_INTERCHANGE_01_OG_20190822_20190829,CCOB_INTERCHANGE_01_OG,2019-08-22,2019-08-29,pre,NA,51.819,0.575,31.668,0.159,5.497,15.039,0.302,0.014,0.041,0.016,0.417,4.869,5.444,0.004,0.018,0.007,2.38,0.034,0.122,1.045,0.41,1.181,0.434,0.14,0.536,0.267,1.507,0.216,0.806,0.287,0.15,0.614,0.094,0.524,NA,0.12,0.275,0.033,0.012,0.075,0.015,0.055,0.009,0.303,0.182,0.078,0.011,NA,0.013,0.003,2062
SS-6.0-12_CCOB Interchange 01 OG_20190829_20190912,CCOB_INTERCHANGE_01_OG,2019-08-29,2019-09-05,pre,NA,15.835,0.565,9.692,0.146,1.658,4.641,0.316,0.011,0.039,0.006,0.146,1.609,1.788,0.004,0.018,0.007,0.872,0.044,0.041,0.395,0.193,0.476,0.188,0.073,0.196,0.111,0.548,0.011,0.44,0.115,0.066,0.281,0.059,0.308,NA,0.075,0.188,0.019,0.012,0.063,0.015,0.05,0.009,0.206,0.208,0.078,0.011,NA,0.016,0.002,2009
